State,City,Property_Type,BHK,Size_in_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities_Score,Facing,Owner_Type,Availability_Status,Age_of_Property,Price_INR,Price_Lakhs
maharashtra,nagpur,independent_house,4,2857,2020,semi_furnished,2,3,8,7,good,no,no,3,north,broker,ready,4,41326701.02061569,413.2670102061569
maharashtra,aurangabad,duplex,1,590,1996,semi_furnished,5,29,6,3,good,yes,no,8,south,broker,under_construction,28,4304182.76119289,43.0418276119289
maharashtra,nashik,apartment,3,1638,1991,unfurnished,3,6,14,1,excellent,yes,basic,2,north,owner,under_construction,33,9105432.725498574,91.05432725498574
maharashtra,aurangabad,independent_house,2,2133,1995,semi_furnished,4,5,11,7,good,yes,basic,5,east,broker,ready,29,16986491.759267043,169.86491759267042
maharashtra,aurangabad,villa,1,1016,2023,fully_furnished,1,35,5,8,good,yes,no,1,south,owner,ready,1,14213746.89393472,142.1374689393472
maharashtra,pune,independent_house,1,3498,2006,unfurnished,11,12,1,3,excellent,yes,high,4,west,owner,ready,18,23923479.52944061,239.23479529440613
maharashtra,nashik,independent_house,3,1605,2015,fully_furnished,14,38,11,8,good,no,high,2,south_east,owner,ready,9,21171819.817924075,211.71819817924074
maharashtra,nashik,independent_house,2,3042,2001,fully_furnished,1,20,6,6,poor,yes,high,4,north,broker,ready,23,21679036.5636756,216.790365636756
maharashtra,nashik,villa,4,3630,2009,fully_furnished,3,25,11,1,excellent,yes,basic,8,east,builder,ready,15,72283921.70276277,722.8392170276277
maharashtra,aurangabad,villa,3,2677,2018,fully_furnished,27,32,13,1,average,yes,no,9,south_east,owner,ready,6,55757866.26141814,557.5786626141814
maharashtra,nagpur,apartment,1,3706,2020,fully_furnished,2,3,10,1,excellent,yes,basic,3,north,owner,ready,4,26753470.59782077,267.5347059782077
maharashtra,nashik,villa,3,3247,2002,unfurnished,0,1,11,3,average,yes,no,2,south_east,owner,ready,22,29244931.472606037,292.4493147260604
maharashtra,aurangabad,apartment,2,3857,2015,semi_furnished,0,1,5,2,poor,yes,basic,0,south,owner,ready,9,15633974.992025465,156.33974992025466
maharashtra,pune,apartment,2,929,2011,semi_furnished,1,2,3,1,excellent,yes,no,1,east,builder,ready,13,8454058.435961949,84.54058435961949
maharashtra,nagpur,villa,3,3755,1997,unfurnished,7,13,7,6,poor,yes,basic,0,south_east,broker,under_construction,27,23793960.557932474,237.93960557932473
maharashtra,pune,apartment,4,470,1996,fully_furnished,17,18,4,4,good,yes,high,1,west,builder,ready,28,6354866.248877234,63.54866248877234
maharashtra,nagpur,villa,2,3975,1994,semi_furnished,19,21,11,2,average,yes,basic,9,north_east,broker,under_construction,30,32298573.21366346,322.98573213663457
maharashtra,aurangabad,apartment,4,1638,1990,semi_furnished,1,2,10,5,poor,yes,no,5,east,owner,under_construction,34,7646370.372166441,76.4637037216644
maharashtra,mumbai,apartment,3,2564,2000,fully_furnished,18,24,14,2,good,yes,no,3,south_west,broker,under_construction,24,24777372.10350174,247.77372103501742
maharashtra,nagpur,apartment,2,499,2021,unfurnished,5,6,11,1,excellent,no,no,7,north_east,owner,ready,3,5609200.995261362,56.092009952613616
maharashtra,pune,apartment,3,999,1996,unfurnished,2,3,2,3,excellent,yes,no,1,south_west,owner,under_construction,28,6212613.545647338,62.12613545647338
maharashtra,aurangabad,villa,3,1259,2018,unfurnished,13,14,1,3,poor,yes,basic,4,south_east,owner,ready,6,14928670.249221258,149.28670249221258
maharashtra,nagpur,apartment,1,2088,2019,unfurnished,24,31,2,8,good,yes,no,6,west,owner,ready,5,9508987.957524307,95.08987957524307
maharashtra,mumbai,apartment,4,2742,2010,unfurnished,24,30,11,7,good,yes,no,0,north_west,broker,ready,14,26797145.933678944,267.97145933678945
maharashtra,mumbai,apartment,3,3648,2009,semi_furnished,8,9,7,3,average,yes,basic,1,east,owner,ready,15,28380177.10103233,283.8017710103233
maharashtra,nashik,apartment,2,3603,2011,unfurnished,0,1,9,3,poor,yes,no,0,north_east,owner,ready,13,11126250.716487262,111.26250716487263
maharashtra,nashik,villa,5,1404,2018,fully_furnished,19,38,14,7,good,no,basic,4,south_east,builder,under_construction,6,43076230.47636948,430.7623047636948
maharashtra,pune,apartment,2,3081,1993,fully_furnished,22,29,14,2,good,yes,no,9,south_west,owner,ready,31,27509663.051301412,275.09663051301413
maharashtra,nagpur,independent_house,4,2146,1992,unfurnished,18,25,1,7,poor,yes,no,5,south_west,owner,under_construction,32,12860216.470813392,128.60216470813393
maharashtra,nagpur,duplex,2,2504,1998,fully_furnished,25,39,1,2,average,no,high,4,north_east,owner,ready,26,13948450.882714974,139.48450882714974
maharashtra,nashik,independent_house,3,3484,1994,unfurnished,19,20,1,2,poor,yes,basic,9,south_east,broker,under_construction,30,20078487.87507412,200.78487875074117
maharashtra,nagpur,villa,2,2640,1992,unfurnished,11,12,11,3,poor,no,no,4,west,owner,ready,32,15703607.69748661,157.0360769748661
maharashtra,nagpur,apartment,3,1393,2014,fully_furnished,13,34,13,7,average,yes,basic,0,north_east,broker,ready,10,11523988.29768142,115.23988297681419
maharashtra,mumbai,apartment,2,3981,2021,fully_furnished,21,22,2,7,excellent,yes,basic,0,north_east,broker,under_construction,3,50563885.45614735,505.6388545614735
maharashtra,nashik,villa,2,1576,2022,fully_furnished,13,14,13,2,average,no,high,1,north,broker,ready,2,17141052.34971165,171.4105234971165
maharashtra,aurangabad,independent_house,1,1446,2007,semi_furnished,27,28,8,2,good,yes,no,4,south,owner,ready,17,8677097.333929364,86.77097333929363
maharashtra,nashik,independent_house,4,429,2018,semi_furnished,6,7,13,3,excellent,yes,basic,8,north_east,owner,ready,6,9161767.0622151,91.617670622151
maharashtra,aurangabad,independent_house,2,3840,1991,semi_furnished,5,6,2,8,poor,yes,high,2,north_west,owner,ready,33,14474611.144093642,144.74611144093643
maharashtra,mumbai,apartment,3,2124,2000,semi_furnished,5,36,4,2,good,no,basic,6,north_west,broker,ready,24,21887625.278512444,218.87625278512445
maharashtra,pune,apartment,4,3862,2020,semi_furnished,7,32,10,4,poor,yes,high,7,south_east,broker,ready,4,54063178.54047363,540.6317854047363
maharashtra,nagpur,villa,4,2757,1993,unfurnished,24,26,12,6,poor,no,basic,4,north,owner,ready,31,24048511.05386139,240.4851105386139
maharashtra,mumbai,independent_house,1,2044,2018,unfurnished,5,6,2,5,good,no,no,8,north_east,broker,ready,6,22173476.763392057,221.73476763392057
maharashtra,nagpur,apartment,4,3872,1992,fully_furnished,18,34,6,3,good,no,basic,3,east,broker,ready,32,18177313.150387667,181.77313150387667
maharashtra,pune,villa,2,1776,1991,unfurnished,2,29,13,3,good,yes,no,0,south,owner,under_construction,33,17699065.49932769,176.9906549932769
maharashtra,pune,apartment,3,971,2003,unfurnished,5,6,13,8,average,yes,basic,7,south_west,builder,ready,21,12783454.28872718,127.8345428872718
maharashtra,mumbai,apartment,3,465,1993,fully_furnished,0,1,6,4,poor,yes,basic,3,east,owner,ready,31,5092466.295979437,50.924662959794375
maharashtra,pune,villa,1,2613,2019,fully_furnished,3,8,8,3,poor,yes,basic,2,south,builder,under_construction,5,35762546.62090764,357.6254662090764
